Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,EchoLink,Coordination,Last update,IRLP,Notes,Web links,Downlink Tone,On-air,Affiliate,Features,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Nets,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Denver Regional,Links,WIRES-X,Grid,Commands,Northern Colorado,D-STAR Enabled,Node,Sources,Feed,P25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,Local/Cluster,Southern Colorado,Talkgroup Network,English,Kansas,Local or Reflector,CKRG,KansasLink,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,Local Network,Location Photo,BYRG,Wyoming,WyLOCAL
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,140.6,WSW,,146.91,146.31,151.4,El Paso,On-Air,,GGARC,,CCARC,,,,,151.4,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,140.6,WSW,,146.85,146.25,103.5,El Paso,On-Air,,W0RSH,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,140.7,WSW,,224.06,222.46,,El Paso,,Wide area.,Pikes Peak FM Association (PPFMA),,CCARC,,,,,,Unknown,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,140.7,WSW,,447.55,442.55,123,El Paso,On-Air,,WA6IFI,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,140.7,W,,449.95,444.95,77,Douglas,On-Air,Primarily to the North along I-25 corridor,W9SL Owner,,CCARC,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,140.7,WSW,,927.8,902.8,D116,Teller,On-Air,,,,CCARC,,,,,,,,6,,,,,,,,,,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,140.7,WSW,,447.025,442.025,123,El Paso,Off-Air,,Colorado Springs ARA,,CCARC,,,,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,140.7,WSW,,448.25,443.25,123,El Paso,Off-Air,Colorado Springs,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,140.7,WSW,,449.575,444.575,,El Paso,On-Air,,RMHARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,140.7,WSW,,448.6,443.6,114.8,El Paso,,,W0MOG,,CCARC,,,,,,Unknown,,,,,,,,,,,,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,140.7,WSW,,447.35,442.35,151.4,El Paso,On-Air,,GGARC,,CCARC,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,140.7,WSW,,448.3,443.3,100,El Paso,On-Air,,AA0L,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,140.7,WSW,,447.475,442.475,107.2,El Paso,,,Mountain ARC (MARC),,CCARC,,,,,,Unknown,,"Closed autopatch, e-power.",,,,,MARC/PCRC: Tue at 1930.,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.525,5,141.3,K0ECT,"Ulysses, Wagon Bed Springs",KS,OPEN,,140.9,SSE,,444.525,449.525,141.3,Grant,On-Air,,SKECT,,Kansas Repeater Council,,,,http://skect.org/default.aspx,141.3,,,E-power.,,,,,,,,,,,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,142.7,W,,145.19,144.59,131.8,Douglas,On-Air,Wide area coverage at 8300,N0OBA Owner,10079,,,,,,131.8,,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,143,WNW,,447.3,442.3,107.2,Weld,On-Air,,,405804,CCARC,,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,143.2,WSW,,448.725,443.725,123,El Paso,On-Air,,KA0TTF,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,144.2,WSW,,147,147.6,,Pueblo,On-Air,,Carl Higbee,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,144.5,WSW,,446.9125,441.9125,,El Paso,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,144.5,WSW,,927.85,902.85,D114,Teller,On-Air,,CMRG,,CCARC,,,,http://www.cmrg.org,,,,9,,,,,,,,,,,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,144.5,WSW,,145.375,144.77,,El Paso,Off-Air,wide area,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,,Repeater off air for now.,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,144.5,WSW,,53.13,51.43,107.2,El Paso,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,,,http://www.cmrg.org,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,144.5,WSW,,145.13,144.53,88.5,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,,CCARC,,,Linked into the Colorado Connection System,,123,,,9,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,144.5,WSW,,445.0625,440.0625,,El Paso,Off-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,,,,The DMR-MARC Worldwide Network,,,,,,,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,145.5,WSW,,146.655,146.055,123,Pueblo,On-Air,,K0ST,,CCARC,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,145.5,WNW,,224.96,223.36,CSQ,Weld,On-Air,,AC0KC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,145.5,WSW,,146.88,146.28,88.5,Pueblo,On-Air,Wide area.,Pueblo HC,,CCARC,,,,,CSQ,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,145.5,WSW,,449.725,444.725,100,El Paso,On-Air,,N0PWZ,,CCARC,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,145.5,WSW,,145.115,144.515,88.5,Pueblo,Off-Air,,Pueblo Ham Club,,CCARC,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,145.5,WSW,,145.16,144.56,107.2,El Paso,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,347086,CCARC,,3990,Switch to this repeater at mile marker 170 on I-25.,http://www.w0cra.org/info/cosprgs.html#145160,107.2,,CRA VHF Link System,"Closed autopatch, e-power.",,,,,,,,,,,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,145.5,WSW,,447.7,442.7,210.7,Pueblo,Off-Air,,,,CCARC,,7389,,,210.7,,,,,,Yes; analog capable.,29228,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,145.5,WSW,,147.345,147.945,107.2,El Paso,On-Air,Wide area.,,,CCARC,,3854,,http://www.cmrg.org/,107.2,,,"Closed autopatch, e-power.",,,,,,,,,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,145.6,WSW,,448.1,443.1,107.2,El Paso,On-Air,Wide area.,,,CCARC,,,,CMRG Repeaters,107.2,,,"Closed autopatch, e-power.",,,,,,,,,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,145.6,WSW,,448,443,107.2,El Paso,On-Air,,,,CCARC,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,145.6,WSW,,146.76,146.16,107.2,El Paso,On-Air,,Cheyenne Mountain Repeater Group,,CCARC,,,,,107.2,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.3,5,162.2,N0KOM,Logan,KS,OPEN,I,145.7,ESE,,442.3,447.3,162.2,Phillips,On-Air,Repeater Coverage Map,,,Kansas Repeater Council,,7446,"For K-Link access dial 9335. 
For Wes-Kan dial 933. 
To disconnect dial 73.",,162.2,,,,,,,,,,,,,,,Linkable to the  Western Kansas Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,146.4,WSW,,447.275,442.275,100,Pueblo,On-Air,,,,CCARC,,,"Moved to Pueblo.  Now called ""Pueblo Metro""",The Fun Machine,100,,The Fun Machine,,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,,,,,,Full-time to the  The Fun Machine System .,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,146.4,WSW,,147.24,147.84,103.5,Pueblo,Off-Air,Pueblo and Fremont Counties,TARA,,CCARC,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,146.4,WSW,,446.9875,441.9875,,Pueblo,Off-Air,,,,CCARC,,,,Rocky Mountain Ham Radio,,,RMHAM,,,,,,,,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,147.3,WSW,,448.8,443.8,100,El Paso,Off-Air,,Pikes Peak FM Assoc,,CCARC,,,,PPFMA Repeaters,100,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,147.3,WSW,,145.265,144.665,100,El Paso,Off-Air,Local. Good coverage of I25 in Colorado Springs.,Pikes Peak FM Association,,CCARC,,,Repeater has been moved.,PPFMA Repeaters,100,,,"Closed autopatch, e-power.",,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,147.7,WNW,,145.475,144.875,100,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,CCARC,,,,Intermountain Repeater Group,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,147.7,WNW,,146.715,146.115,123,Denver,On-Air,,EARS,,CCARC,,,,,123,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,147.7,WNW,,448.55,443.55,82.5,Denver,Off-Air,,HPRA,,CCARC,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,147.7,WNW,,448.075,443.075,123,Denver,On-Air,,W0IG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,147.8,WNW,,447.9,442.9,CSQ,Denver,Off-Air,,WB0TPT,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,147.8,WNW,,449.675,444.675,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,,7708,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,147.8,WNW,,449.65,444.65,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,147.8,WNW,,447.925,442.925,100,Denver,On-Air,,RADOPS El Jebel Shriners,,CCARC,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,148.1,WNW,,447.175,442.175,100,Denver,On-Air,,W0JRL,201712,CCARC,,,,,100,,,,,,,29997,,,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,148.2,W,,147.225,147.825,107.2,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),347086,CCARC,,3990,,Colorado Repeater Association,107.2,,CRA VHF Link System,Closed autopatch,,,,,"CRA Net, Sunday 9AM",,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,148.2,W,,449.975,444.975,100,Douglas,On-Air,,K0JSC,,CCARC,,,"Can be linked to Allstar, Echolink and others by a Sysop",The Fun Machine,100,,The Fun Machine,Simulcast and Voted with Cedarwood and Methodist.,,,,,,,,,,,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,148.2,W,,448.425,443.425,107.2,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),,,,,,http://www.w0cra.org,107.2,,ARESDEC,,,,,,,,,,,,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,,KD0AN,Edison,NE,OPEN,E,148.4,E,,146.745,146.145,,Furnas,On-Air,,,882742,WB0CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,148.5,SW,,449.975,444.975,100,Pueblo,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC,363976,CCARC,,7301,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,K0JSC dot Com,100,,,2,,,,28368,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",,,,,,,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",,DM78SA18,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.835,-0.6,CSQ,K0KDC,North Platte,NE,OPEN,,148.6,NNE,,146.835,146.235,CSQ,Lincoln,On-Air,,K0KDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,,NE0NP,North Platte,NE,OPEN,,148.6,NNE,,146.7,146.1,,Lincoln,Off-Air,,North Platte Progressive Amateur Radio Club,,,,,,,123,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,149.6,WNW,,146.85,146.25,100,Weld,On-Air,,Northern Colorado ARC,,CCARC,,,,,100,,,"E-power, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,123,N0IQ,North Platte,NE,OPEN,EI,149.7,NNE,,444.4,449.4,123,Lincoln,On-Air,Maxwell to Sutherland across I-80.,Randy Allen,857936,,,7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,123,N0IQ,North Platte,NE,OPEN,EI,149.7,NNE,,147.33,147.93,123,Lincoln,On-Air,,Randy Allen,857936,,,7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,149.7,WSW,,448.975,443.975,100,Pueblo,On-Air,,,363976,CCARC,,7301,Off air.  Will return to service,http://www.k0jsc.com,100,,,,,,,28368,,,,,,,,Full-time to the  The Fun Machine System .,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,149.7,WNW,,449.725,444.725,127.3,Weld,On-Air,,K0OJ,,CCARC,,,,,,,,"Autopatch, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,123,N0UGO,North Platte,NE,OPEN,EI,149.7,NNE,,442.25,447.25,123,Lincoln,Off-Air,,Charlie Allen,751985,,,7349,Linked to 146.940 in North Platte and 146.760 in Ogallala.,,,,,,,,,,"Sunt at 20:30 
Wed at 21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,123,N0UGO,North Platte,NE,OPEN,EI,149.7,NNE,,146.94,146.34,123,Lincoln,On-Air,,Charlie Allen,751985,WB0CMC,,7349,,,,,,Linked to 146.760 in Ogallala and 442.250 south of North Platte,,,,,"Sunday Night net: Sun at 20:30 
Wednesday Night net: Wed at 21:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,150.1,WNW,,147.045,147.645,123,Adams,On-Air,,Northglenn RA,,CCARC,,,,,CSQ,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,150.6,WNW,,147,147.6,100,Weld,On-Air,,Weld ARS,,CCARC,,3839,,,100,,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,150.6,WNW,,449.325,444.325,,Weld,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,150.6,WNW,,448.475,443.475,100,Weld,On-Air,,Weld Amateur Radio Society (WARS),,CCARC,,3839,,http://www.warsco.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,150.7,WSW,,927.725,902.725,D114,Teller,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",WA6IFI,,CCARC,,,,Yahoo Group,D114,,,12,,,,,,,,,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,150.7,WSW,,446.95,441.95,,Teller,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,,,,,,,RMHAM,,,,,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
