Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,Notes,Links,Nets,Affiliate,Coverage,Web links,Downlink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,IRLP,EchoLink,D-STAR Enabled,Node,Sources,Feed,Worldwide,North America,Local/Cluster,AllStar,On-air,Location Photo,Grid,Commands,Talkgroup Network,Denver Regional,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA,Texas,COMM 1,Texas/Oklahoma Regional USA
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,28.1,N,yes,446.875,441.875,,Douglas,On-Air,W0VG,,CCARC,yes,,Full-time to the  Colorado TRBO System .,,RMHAM,,http://www.rmham.org,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,RMHAM,2,2,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,29,NE,yes,447.725,442.725,100,El Paso,On-Air,K0NR,30,CCARC,yes,,,,,Local.,http://www.k0nr.com/wordpress/k0nr-repeater/,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,30.1,NNE,yes,145.19,144.59,131.8,Douglas,On-Air,N0OBA Owner,,,yes,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,Wide area coverage at 8300,,131.8,,,,,,,,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,30.6,NNE,yes,147.225,147.825,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),Closed autopatch,CCARC,yes,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .","CRA Net, Sunday 9AM",CRA VHF Link System,Wide area,Colorado Repeater Association,107.2,,,,,,,,,,3990,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,30.6,NNE,yes,449.975,444.975,100,Douglas,On-Air,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,CCARC,yes,"Can be linked to Allstar, Echolink and others by a Sysop",Full-time to the  The Fun Machine System .,,The Fun Machine,,The Fun Machine,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,30.6,NNE,yes,448.425,443.425,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),,,yes,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,ARESDEC,Wide area,http://www.w0cra.org,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,33.2,E,yes,447.2,442.2,,El Paso,Testing,GGARC,,,yes,,,,Garden of the Gods Amateur Radio Club,"Falcon, Black Forest, Peyton Areas",,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,36,N,yes,446.925,441.925,,Douglas,On-Air,,,CCARC,yes,See the website for programming info.,Full-time to the  Colorado TRBO System .,,,,Rocky Mountain Ham Radio,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,36,N,yes,447.525,442.525,146.2,Douglas,On-Air,EmComm Colorado,,CCARC,yes,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,Colorado ARES,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,36.9,NE,yes,447.625,442.625,100,El Paso,On-Air,KD0MDP,Linked.,,yes,,Full-time to the  The Fun Machine System .,,The Fun Machine,,,100,,,,,,,,,,7301,363976,,,,,,,,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,38.9,SE,yes,448.975,443.975,100,Pueblo,On-Air,,,CCARC,yes,Off air.  Will return to service,Full-time to the  The Fun Machine System .,,,,http://www.k0jsc.com,100,,,,,,,,,,7301,363976,,,,Listen Live,,,,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,41.6,SE,yes,447.95,442.95,88.5,Pueblo,On-Air,Pueblo Ham Club,E-power.,CCARC,yes,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,Wide area.,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,41.6,SE,yes,146.79,146.19,88.5,Pueblo,On-Air,Pueblo HC,E-power.,CCARC,yes,,,,,Wide area.,Pueblo Ham Club,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,41.6,SE,yes,224.26,222.66,88.5,Pueblo,Off-Air,Pueblo Ham Club,E-power.,CCARC,yes,,,,,Wide area.,PHC repeaters,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,41.7,WNW,yes,448.575,443.575,103.5,Park,Off-Air,,,CCARC,yes,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,Western Park County,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,42.6,WNW,yes,446.7625,441.7625,,Park,On-Air,K7PFJ,,,yes,,,,RMHAM,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,42.8,SE,yes,147,147.6,,Pueblo,On-Air,Carl Higbee,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,45,SSW,yes,927.775,902.775,D116,Custer,On-Air,Royal Gorge Amateur Radio Club,,CCARC,yes,System uses digital PL,,,,,,D116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,45,SSW,yes,147.06,147.66,77,Custer,On-Air,http://www.qsl.net/rghc,E-power,CCARC,yes,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,45,SSW,yes,448.15,443.15,103.5,Custer,On-Air,Royal George ARC,E-power.,CCARC,yes,,,,,,http://www.qsl.net/rghc,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,45.1,SSW,yes,919.1,894.1,88.5,Pueblo,Off-Air,Pueblo HC,,CCARC,yes,,,,,Wide area.,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,45.1,SSW,yes,448.325,443.325,100,Custer,On-Air,,,,yes,,Full-time to the  The Fun Machine System .,,The Fun Machine,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,45.9,SE,yes,145.115,144.515,88.5,Pueblo,Off-Air,Pueblo Ham Club,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,45.9,SE,yes,146.655,146.055,123,Pueblo,On-Air,K0ST,,CCARC,yes,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,45.9,SE,yes,146.88,146.28,88.5,Pueblo,On-Air,Pueblo HC,E-power.,CCARC,yes,,,,,Wide area.,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,45.9,SE,yes,449.725,444.725,100,El Paso,On-Air,N0PWZ,,CCARC,yes,,,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,45.9,SE,yes,447.7,442.7,210.7,Pueblo,Off-Air,,,CCARC,yes,,,,,,,210.7,yes,0,,,,,,,Yes; analog capable.,7389,,,,,,,,,29228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,46.6,WSW,yes,446.975,441.975,,Chaffee,On-Air,Crestone Amateur Radio Emergency Services,,CCARC,yes,,,,Crestone Amateur Radio Emergency Services,,KD0QPG,,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,46.6,WSW,yes,446.8125,441.8125,,Chaffee,On-Air,RMHAM,,,yes,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,47,SE,yes,147.24,147.84,103.5,Pueblo,Off-Air,TARA,,CCARC,yes,,,,,Pueblo and Fremont Counties,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,47,SE,yes,447.275,442.275,100,Pueblo,On-Air,,,CCARC,yes,"Moved to Pueblo.  Now called ""Pueblo Metro""",Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",The Fun Machine,,The Fun Machine,100,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,47,SE,yes,446.9875,441.9875,,Pueblo,Off-Air,,,CCARC,yes,,Full-time to the  Colorado TRBO System .,,RMHAM,,Rocky Mountain Ham Radio,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,48.2,NNW,yes,146.895,146.295,100,Park,On-Air,AB0RR,25,CCARC,yes,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",Wed at 19:30.,,285,Park County Radio Club (PCRC),100,,,,,,,,,,,,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,48.8,S,yes,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo HC,11,CCARC,yes,,,,,Wide area: Southeast Colorado.,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,48.8,S,yes,224.32,222.72,88.5,Custer,Off-Air,Pueblo Ham Club,11,CCARC,yes,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,48.8,S,yes,449.625,444.625,107.2,Custer,On-Air,,E-power.,CCARC,yes,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,49.1,WSW,yes,145.295,144.695,107.2,Chaffee,On-Air,Cheyenne Mtn Repeater Group,,CCARC,yes,,,,,Wide area.,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,49.1,WSW,yes,147.285,147.885,88.5,Chaffee,On-Air,Colorado Connection,11,CCARC,yes,,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,49.5,WSW,yes,449.975,444.975,100,Chaffee,On-Air,,2,CCARC,yes,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,K0JSC.COM,100,,,,,,,,,,7301,363976,,,,,,,,28368,,,DM68xk,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,49.7,WSW,yes,449.925,444.925,103.5,Chaffee,On-Air,,E-power (Bat),CCARC,yes,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,Colorado ARES,"Upper Arkansas and Platte Rivers, and the SLV",,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,49.7,WSW,yes,449.65,444.65,107.2,Chaffee,On-Air,,E-power.,CCARC,yes,,,,,Wide area.,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,50,N,yes,447.5,442.5,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,yes,,,,,Wide area.,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,52.2,NNE,yes,446.85,441.85,,Douglas,On-Air,Parker Radio Association,D-Star B module,CCARC,yes,,,,,,http://parkerradio.org,,,,,,,,,,,,,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,52.4,N,yes,146.88,146.28,100,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,yes,6,,,,Wide Area,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,52.4,NNE,yes,449.95,444.95,77,Douglas,On-Air,W9SL Owner,,CCARC,yes,,,,,Primarily to the North along I-25 corridor,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,52.4,N,yes,449.6,444.6,100,Jefferson,On-Air,Denver Radio League,,CCARC,yes,,,,,,DRL Repeaters,,,,,,,,,,,3345,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,53.9,N,yes,447.15,442.15,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,,,,,Wide area: Denver.,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,53.9,N,yes,224.98,223.38,107.2,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,yes,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,Wide area. Denver.,,107.2,,,,,,,,,,3990,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,53.9,N,yes,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,yes,,,,,Denver metro and east.,http://www.n0ara.org,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,53.9,N,yes,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,yes,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.2,N,yes,53.05,51.35,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,CCARC,yes,,,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,54.8,NNE,yes,445.075,440.075,,Douglas,On-Air,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,CCARC,yes,Mixed Mode,,Mondays 20:30 MST,,,http://www.parkerradio.org,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,54.8,NNE,yes,447.525,442.525,203.5,Douglas,On-Air,EmComm Colorado,,CCARC,yes,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,Colorado ARES,"Denver metropolitan area, front range foothills",,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,55.1,W,yes,146.745,146.145,100,Chaffee,Off-Air,CLARA,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,58.4,WNW,yes,447.125,442.125,103.5,Park,On-Air,KC0UFO,Emergency automatic generator.,CCARC,yes,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.","Park County Radio Club, AB0PC","Covers Fairplay, Alma, and western South Park.",,103.5,,,,,,,,,,,,,,,,,,,,,,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,59.7,NNE,yes,448.7,443.7,146.2,Douglas,On-Air,,,,yes,,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,61.7,N,yes,145.175,144.575,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,CCARC,yes,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,Rocky Mountain Ham Radio,D073,yes,1,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,61.7,N,yes,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,CCARC,yes,,,,,Wide area.,Repeater,127.3,,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,61.8,SE,yes,449.975,444.975,100,Pueblo,On-Air,K0JSC,2,CCARC,yes,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC dot Com,100,,,,,,,,,,7301,363976,,,,Listen Live,,,,28368,,,DM78SA18,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,63.7,NNE,yes,927.8375,902.025,,Douglas,On-Air,,,CCARC,yes,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,63.9,NNE,yes,145.4,144.6,100,Arapahoe,On-Air,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,yes,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,64.1,N,yes,447.875,442.875,107.2,Jefferson,On-Air,N6LXX,,CCARC,yes,,Full-time to the  N6LXX System .,,N6LXX,"I-70,I-76,I-25,I-225",,107.2,,,,,,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,64.1,N,yes,53.17,51.47,107.2,Jefferson,On-Air,N6LXX,,CCARC,yes,,Full-time to the  N6LXX System .,,N6LXX,"I-70,I-76,I-25,I-225",,CSQ,,,,,,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
