Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,Downlink Tone,Coverage,Links,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Denver Regional,Affiliate,D-STAR Enabled,Node,Sources,Web links,Southern Colorado,Nets,Grid,Notes,EchoLink,IRLP,AllStar,Northern Colorado,Commands,On-air,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,61.5,ESE,,147.18,147.78,100,El Paso,On-Air,AA0SP,E-power (solar).,CCARC,,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,,,,,,,,,,,,,,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,61.5,ESE,,446.95,441.95,,Teller,On-Air,Rocky Mountain Ham Radio,,,,,Monument Hill through Pueblo.,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,RMHAM,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,61.9,E,,446.925,441.925,,Douglas,On-Air,,,CCARC,,,,Full-time to the  Colorado TRBO System .,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,,,,,Rocky Mountain Ham Radio,1,,,See the website for programming info.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,61.9,E,,447.525,442.525,146.2,Douglas,On-Air,EmComm Colorado,,CCARC,,146.2,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,,,,,,,Colorado ARES,,,,,,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,62.4,NE,,53.05,51.35,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,CCARC,,107.2,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,62.4,NE,,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,,88.5,Denver metro and east.,,,,,,,,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,63.2,E,,448.425,443.425,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),,,,107.2,Wide area,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,ARESDEC,,,,http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,63.2,E,,449.975,444.975,100,Douglas,On-Air,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,CCARC,,100,,Full-time to the  The Fun Machine System .,,,,,,,,The Fun Machine,,,,The Fun Machine,,,,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,63.2,E,,147.225,147.825,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),Closed autopatch,CCARC,,107.2,Wide area,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,,,,,,,CRA VHF Link System,,,,Colorado Repeater Association,,"CRA Net, Sunday 9AM",,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,64.5,NE,,447.15,442.15,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,107.2,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,64.5,NE,,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,64.5,NE,,224.98,223.38,107.2,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,107.2,Wide area. Denver.,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,65.6,NW,,447.15,442.15,136.5,Garfield,On-Air,,,,,,,,,,,,,,,,,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,66.2,NE,,447.5,442.5,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,,88.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,67,ESE,,145.265,144.665,100,El Paso,Off-Air,Pikes Peak FM Association,"Closed autopatch, e-power.",CCARC,,100,Local. Good coverage of I25 in Colorado Springs.,,,,,,,,,,,,,PPFMA Repeaters,,,,Repeater has been moved.,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,67,ESE,,448.8,443.8,100,El Paso,Off-Air,Pikes Peak FM Assoc,,CCARC,,100,,,,,,,,,,,,,,PPFMA Repeaters,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,448.225,443.225,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,E-power(gen).,CCARC,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,446.9375,441.9375,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,CCARC,,,,Full-time to the  Colorado TRBO System .,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,Rocky Mountain Ham Radio,2,,,See the website for programming information.,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,67.2,NNE,,447.575,442.575,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,CCARC,,107.2,Wide area: Denver metro.,,,,,,,,,,,,,http://www.w0cra.org,,,,,347088,3291,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,449.45,444.45,103.5,Clear Creek,On-Air,Rocky Mountain Radio League,11,CCARC,,127.3,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,,,,,,,,,,,Repeater,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,449,444,136.5,Clear Creek,On-Air,CARN,,CCARC,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,145.145,144.545,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,E-power.,CCARC,,107.2,Wide area. Denver metro.,,,,,,,,,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,146.67,146.07,100,Clear Creek,On-Air,Castle Rock Repeater Group,11,CCARC,,100,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,,,,,,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,146.94,146.34,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,11,CCARC,,103.5,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,,,,,,,,,Repeater,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,Autopatch: 911* / Off 0*.,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,67.2,NNE,,145.49,144.89,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",E-power.,CCARC,,100,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,,,,,,,,,DRC Repeaters,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.2,NNE,,448.675,443.675,100,Denver,On-Air,W0CFI,,CCARC,,100,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,67.2,NNE,,449.35,444.35,100,Clear Creek,On-Air,Denver Radio Club,11,CCARC,,100,Wide area.,,,,,,,,,,,,,DRC Repeaters,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,67.3,NNE,,147.3,147.9,103.5,Clear Creek,On-Air,Denver PD EEB,,CCARC,,103.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,67.7,ESE,,448,443,107.2,El Paso,On-Air,,,CCARC,,,,,,,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,67.7,ESE,,146.76,146.16,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",CCARC,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,67.7,ESE,,448.1,443.1,107.2,El Paso,On-Air,,"Closed autopatch, e-power.",CCARC,,107.2,Wide area.,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,67.8,ESE,,145.16,144.56,107.2,El Paso,On-Air,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,107.2,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,CRA VHF Link System,,,,http://www.w0cra.org/info/cosprgs.html#145160,,,,Switch to this repeater at mile marker 170 on I-25.,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,67.8,ESE,,147.345,147.945,107.2,El Paso,On-Air,,"Closed autopatch, e-power.",CCARC,,107.2,Wide area.,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,http://www.cmrg.org/,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,67.8,E,,145.19,144.59,131.8,Douglas,On-Air,N0OBA Owner,,,,131.8,Wide area coverage at 8300' Pueblo to Ft. Collins+,,,,,,,,,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,68.7,ESE,,53.13,51.43,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,107.2,,,,,,,,,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,68.7,ESE,,145.375,144.77,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,,wide area,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,68.7,ESE,,445.0625,440.0625,,El Paso,Off-Air,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,CCARC,,,,,,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,68.7,ESE,,927.85,902.85,D114,Teller,On-Air,CMRG,9,CCARC,,,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,68.7,ESE,,446.9125,441.9125,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,68.7,ESE,,145.13,144.53,88.5,El Paso,On-Air,Colorado Connection,9,CCARC,,123,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,Linked into the Colorado Connection System,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,69.1,ESE,,448.725,443.725,123,El Paso,On-Air,KA0TTF,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,69.8,E,,447.725,442.725,100,El Paso,On-Air,K0NR,30,CCARC,,100,Local.,,,,,,,,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,69.9,NE,,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,CCARC,,127.3,Wide area.,,,,,,,,,,,,,Repeater,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,69.9,NE,,145.175,144.575,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,CCARC,,D073,,,,1,,,,,,,,,,Rocky Mountain Ham Radio,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,70.4,NNE,,449.05,444.05,107.2,Denver,On-Air,WG0N,E-power.,CCARC,,107.2,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,70.5,ESE,,448.25,443.25,123,El Paso,On-Air,,,CCARC,,,Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,70.5,ESE,,447.35,442.35,151.4,El Paso,On-Air,GGARC,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,70.5,ESE,,449.575,444.575,,El Paso,On-Air,RMHARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,70.5,ESE,,927.8,902.8,D116,Teller,On-Air,,6,CCARC,,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,70.5,ESE,,224.06,222.46,,El Paso,,Pikes Peak FM Association (PPFMA),"E-power, linked.",CCARC,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,70.5,ESE,,448.3,443.3,100,El Paso,On-Air,AA0L,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,70.5,ESE,,448.6,443.6,114.8,El Paso,,W0MOG,,CCARC,,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,70.5,ESE,,447.475,442.475,107.2,El Paso,,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,MARC/PCRC: Tue at 1930.,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,70.5,ESE,,147.27,147.87,,El Paso,On-Air,TRA,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,70.5,ESE,,447.55,442.55,123,El Paso,On-Air,WA6IFI,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,70.5,ESE,,447.025,442.025,123,El Paso,Off-Air,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,70.5,ESE,,147.39,147.99,103.5,El Paso,On-Air,W0MOG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,70.5,ESE,,146.91,146.31,151.4,El Paso,On-Air,GGARC,E-power.,CCARC,,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,70.5,ESE,,146.85,146.25,103.5,El Paso,On-Air,W0RSH,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,70.6,NE,,449.6,444.6,100,Jefferson,On-Air,Denver Radio League,,CCARC,,,,,,,,,,,,,,,,DRL Repeaters,,,,,690473,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,70.6,NE,,146.88,146.28,100,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,,,Wide area: Denver.  Map,,,,,,,,,,,,,DRL Repeaters,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,71,NNE,,447.85,442.85,141.3,Clear Creek,On-Air,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,,141.3,Wide area at 9500',,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,71.6,ESE,,147.135,147.735,100,El Paso,On-Air,AA0L,6,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,71.7,ESE,,224.72,223.12,103.5,El Paso,On-Air,w0mog,,,,103.5,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,74.2,WNW,,147.39,147.99,107.2,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative,,,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,74.2,WNW,,449.725,444.725,179.9,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative (RFARC),EchoLink.,CCARC,,,Wide area.,,,,,,,,,,,,,,,,,,,3722,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,74.8,NNE,,147.285,147.885,88.5,Grand,On-Air,Colorado Connection,,CCARC,,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,75.2,NNE,,146.985,146.385,100,Denver,On-Air,El Jebel RADOPS,E-power.,CCARC,,100,,,,,,,,,,,,,,,,RADOPS: Sun at 19:00.,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
